Version,identifyHAs,identifyHAsCopy,identifyVAs,identifyGraphOfRationalFunction,identifyGraphOfRationalFunctionCopy,identifyOAsCopy,identifyVAsCopy,identifyHoles,identifyHolesCopy,identifyOAs
A,B,E,D,D,D,A,D,B,E,E
B,A,E,B,A,B,C,E,C,E,C
C,C,E,E,D,D,A,E,D,B,D
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
